F	W1	W2
0	0	0
0.99999873	-1.84783E-09	-1.86488E-09
1.999998642	-3.69566E-09	-3.72976E-09
3.499995764	-6.4674E-09	-6.52707E-09
5.749988561	-1.0625E-08	-1.0723E-08
9.124971045	-1.68614E-08	-1.7017E-08
14.18743002	-2.62159E-08	-2.64578E-08
21.78108477	-4.02474E-08	-4.06189E-08
33.17149167	-6.12945E-08	-6.18604E-08
50.25693223	-9.28644E-08	-9.3722E-08
75.88471165	-1.40218E-07	-1.41513E-07
114.3255215	-2.11244E-07	-2.13197E-07
171.9848018	-3.17775E-07	-3.20717E-07
258.4693706	-4.77554E-07	-4.81982E-07
388.1864223	-7.17182E-07	-7.23848E-07
582.7399276	-1.07653E-06	-1.08658E-06
874.5204449	-1.61535E-06	-1.6305E-06
1312.079065	-2.42311E-06	-2.44603E-06
1968.163748	-3.63371E-06	-3.66847E-06
2951.718055	-5.44725E-06	-5.50025E-06
4425.750828	-8.16225E-06	-8.24355E-06
6633.843212	-1.22228E-05	-1.23484E-05
9939.207909	-1.82867E-05	-1.84822E-05
14881.58321	-2.73218E-05	-2.76268E-05
22258.31675	-4.07376E-05	-4.12056E-05
32044.04539	-5.8412E-05	-5.90611E-05
41737.21052	-7.57927E-05	-7.65244E-05
51327.55471	-9.28814E-05	-9.35242E-05
60802.62737	-0.000109681	-0.000109977
70147.16799	-0.000126194	-0.000125783
79342.2701	-0.000142422	-0.000140826
88364.17086	-0.000158364	-0.00015497
97182.43281	-0.000174009	-0.000168054
105756.863	-0.000189329	-0.000179886
114032.3627	-0.000204262	-0.000190238
121928.8527	-0.000218685	-0.00019883
129321.582	-0.000232349	-0.000205302
136003.2024	-0.000244777	-0.000209181
141626.8461	-0.000255106	-0.000209871
145702.0511	-0.000262102	-0.000206858
147846.7414	-0.000264831	-0.000200284
148156.7327	-0.000263602	-0.000191155
147081.4184	-0.000259591	-0.000180623
145073.6586	-0.000253941	-0.000169497
142468.1733	-0.000247453	-0.000158267
139497.1198	-0.000240635	-0.000147242
136324.1366	-0.000233804	-0.000136638
133067.9497	-0.00022716	-0.000126629
129815.7881	-0.000220826	-0.000117354
126630.8025	-0.000214875	-0.000108932
123556.7021	-0.000209344	-0.000101458
120621.3624	-0.000204248	-9.50041E-05
117840.1256	-0.000199583	-8.96248E-05
115218.8828	-0.000195333	-8.53563E-05
112756.8152	-0.000191475	-8.22217E-05
110448.6658	-0.000187984	-8.02343E-05
108286.487	-0.000184831	-7.94001E-05
106260.9148	-0.00018199	-7.97206E-05
104362.0397	-0.000179435	-8.11938E-05
102579.9772	-0.00017714	-8.38159E-05
100905.2061	-0.000175085	-8.75819E-05
99328.76962	-0.000173248	-9.24859E-05
97842.36719	-0.000171611	-9.85214E-05
96438.37686	-0.000170157	-0.000105681
95109.85004	-0.000168871	-0.000113958
93850.4751	-0.00016774	-0.000123344
92654.53525	-0.00016675	-0.000133831
91516.85623	-0.000165891	-0.00014541
90432.75531	-0.000165152	-0.00015807
89397.99698	-0.000164524	-0.000171803
88408.74487	-0.000163997	-0.000186596
87461.51895	-0.000163564	-0.000202438
86553.1593	-0.000163216	-0.000219316
85680.79562	-0.000162946	-0.000237217
84841.81042	-0.000162747	-0.000256126
84033.81744	-0.000162613	-0.000276029
83254.63577	-0.000162538	-0.000296909
82502.26862	-0.000162515	-0.00031875
81774.88794	-0.000162538	-0.000341535
81070.81128	-0.000162601	-0.000365244
80388.49481	-0.000162699	-0.000389859
79726.51483	-0.000162826	-0.000415361
79083.55698	-0.000162977	-0.00044173
78458.41095	-0.000163146	-0.000468944
77849.95192	-0.000163327	-0.000496983
77257.14485	-0.000163516	-0.000525824
76679.0248	-0.000163706	-0.000555445
76114.69873	-0.000163892	-0.000585825
75563.3376	-0.000164068	-0.000616939
75024.16908	-0.00016423	-0.000648765
74496.47549	-0.00016437	-0.000681279
73979.58902	-0.000164485	-0.000714458
73472.88644	-0.000164566	-0.000748278
72975.78688	-0.000164611	-0.000782714
72487.75058	-0.000164611	-0.000817744
72008.271	-0.000164561	-0.000853343
71536.87747	-0.000164456	-0.000889488
71073.13184	-0.000164289	-0.000926154
70616.62254	-0.000164055	-0.000963317
70166.9679	-0.000163747	-0.001000956
69723.8119	-0.000163359	-0.001039045
69286.82071	-0.000162886	-0.001077562
68855.686	-0.00016232	-0.001116485
68430.11983	-0.000161657	-0.001155789
68009.85488	-0.000160889	-0.001195454
67594.6428	-0.000160011	-0.001235457
67184.25371	-0.000159017	-0.001275777
66778.47519	-0.000157901	-0.001316391
66377.11135	-0.000156658	-0.00135728
65979.9822	-0.00015528	-0.001398423
65586.92442	-0.000153764	-0.001439799
65197.78722	-0.000152103	-0.00148139
64812.43317	-0.000150292	-0.001523175
64430.74284	-0.000148327	-0.001565136
64052.60498	-0.000146201	-0.001607254
63677.9243	-0.00014391	-0.001649512
63306.61593	-0.000141451	-0.001691893
62938.60931	-0.000138818	-0.001734378
62573.84403	-0.000136008	-0.001776953
62212.27164	-0.000133016	-0.0018196
61853.85541	-0.000129841	-0.001862304
61498.57039	-0.000126478	-0.00190505
61146.40097	-0.000122924	-0.001947824
60797.34382	-0.000119179	-0.001990611
60451.4063	-0.000115238	-0.002033397
60108.60628	-0.000111101	-0.00207617
59768.97075	-0.000106767	-0.002118916
59432.53944	-0.000102235	-0.002161624
59099.36105	-9.75028E-05	-0.002204281
58769.49484	-9.25719E-05	-0.002246877
